participant_id,task_id,variant,event_type,mouse_x,mouse_y,timestamp
P0004,banner_A_1,A,click,208.61264374966058,220.8798873485475,29.628148854387405
P0005,banner_A_3,A,click,86.18921622899872,212.11522530691536,19.96421237951095
P0008,banner_A_3,A,click,76.64387071017563,217.55253569184606,27.858887767071888
P0012,banner_A_1,A,click,214.73215335007913,226.66873432475535,29.791518456936313
P0014,banner_B_1,B,click,93.42670683307402,231.0197843285552,18.86332835697284
P0018,banner_A_2,A,click,187.33981341079107,235.62096157776736,26.76082058246899
P0019,banner_A_0,A,click,204.5678796793745,219.40147169858963,29.129023425476504
P0025,banner_A_3,A,click,120.34601347097937,227.68509885747346,15.08248048419382
P0027,banner_B_0,B,click,112.51282082541135,226.20334052307493,15.484637810112202
P0029,banner_A_2,A,click,205.67171478347208,210.03398062838832,28.437070439767517
P0035,banner_A_3,A,click,60.80058803423157,230.03081731619994,23.84278518544997
P0036,banner_B_2,B,click,180.71868709703966,211.52838437409565,8.817196235079335
P0039,banner_A_0,A,click,71.40221580760105,213.93385598776027,14.363876452087721
P0040,banner_B_3,B,click,198.4410576000476,213.35284858270555,27.7409745738184
P0041,banner_B_3,B,click,131.54245423489715,224.10428458574705,6.502435270967187
P0043,banner_A_0,A,click,225.14529451600345,210.68077761441776,9.096399364122504
P0053,banner_A_0,A,click,117.14479212351856,235.49738194447409,8.544994071576287
P0056,banner_B_0,B,click,229.11715060307338,211.429741869222,29.395071653078087
P0057,banner_B_2,B,click,237.7151917370312,226.45905440104033,26.85554331316778
P0060,banner_A_3,A,click,109.59979052176588,218.88176132772216,14.979035897846062
P0063,banner_B_1,B,click,189.7562397093474,224.4058681903076,26.26919738402862
P0068,banner_B_3,B,click,169.83630695972533,222.62709258710285,17.96983345455477
P0069,banner_B_2,B,click,93.56506376755726,226.0685823850837,26.240312688617248
P0071,banner_A_0,A,click,154.69175830220738,234.01801151963346,23.556967879510587
P0072,banner_A_3,A,click,109.84891255622124,220.64197974835875,15.066439296721317
P0074,banner_B_0,B,click,177.195703741305,222.71079456991816,5.696409459850186
P0077,banner_A_2,A,click,164.89320478251062,230.01060027725592,17.567809054712757
P0078,banner_A_2,A,click,212.32607354944972,233.14329435646044,7.7614479216180685
P0080,banner_B_3,B,click,223.31279750305373,237.7782403362006,13.555815003625735
P0083,banner_A_1,A,click,117.35950461684834,238.65583811989964,10.870341604069097
P0086,banner_A_3,A,click,222.215059603628,227.71023988282568,12.686637083157919
P0093,banner_B_3,B,click,158.2651225085567,228.40921334232752,20.76367629773143
P0095,banner_B_1,B,click,106.33479237953185,223.29190305787222,20.771267089492337
P0096,banner_A_2,A,click,79.12840979368008,220.49361779227283,19.455450222636156
P0098,banner_A_0,A,click,90.86169685357794,211.63918033024112,21.19094374281877
P0099,banner_A_2,A,click,128.34365351987643,213.00162647123415,26.315396181976055
P0100,banner_A_0,A,click,170.42202471858005,211.47081971382752,25.585871712416417
P0104,banner_B_2,B,click,77.965188866527,230.57366664136893,22.32106521201474
P0109,banner_A_1,A,click,118.73583929436462,214.03941807647197,23.96970997267479
P0111,banner_A_1,A,click,113.51930317051065,235.8832905106899,28.14910802247621
P0115,banner_A_1,A,click,190.35863592692894,213.67493274464317,25.397675730317903
P0117,banner_A_3,A,click,184.29945468981117,221.74029217503562,10.562685281740745
P0118,banner_A_2,A,click,157.27524385542668,231.43887227140388,16.882330084358042
P0119,banner_B_3,B,click,206.32576123085144,218.52663900098037,10.054609074073682
P0121,banner_A_2,A,click,202.20125140986897,233.11983122541903,24.464637844292334
P0123,banner_B_1,B,click,117.62578969496313,213.79943105727685,5.528643672302162
P0125,banner_B_0,B,click,154.18287030065846,232.0982200220183,23.355818923609966
P0133,banner_A_0,A,click,210.5233325228246,239.54090539565826,9.043790235683753
P0135,banner_B_0,B,click,107.82916347123573,239.6563548161019,24.48108436455332
P0140,banner_B_3,B,click,221.2963519185069,221.0946699683859,11.16705364562704
P0142,banner_A_3,A,click,181.1122605286585,228.33175895695064,17.77267514400557
P0143,banner_A_0,A,click,95.29880279908166,232.27018619822795,19.91537656483738
P0146,banner_A_2,A,click,151.8413765779026,213.4394990067968,20.33833004802061
P0149,banner_A_1,A,click,233.13158591921456,221.90760147992526,29.425852465979556
P0154,banner_A_0,A,click,235.2461926357072,238.46231145124744,26.831403153866876
P0163,banner_A_2,A,click,148.12263388498104,210.56796940638048,8.44033021383478
P0166,banner_A_3,A,click,191.0987381087667,221.4352102876411,19.640167128006453
P0185,banner_A_1,A,click,117.47237498853127,230.03851397514578,13.749671395791198
P0188,banner_B_3,B,click,229.5876547479114,232.1988460251414,11.460306719787468
P0189,banner_A_0,A,click,100.47702304935667,220.16346719927446,10.99767422061456
P0193,banner_B_1,B,click,96.46419572420767,229.69072940281484,29.551768172750965
P0195,banner_A_3,A,click,78.60186395446752,228.45259626697313,20.893392464972273
P0200,banner_A_0,A,click,239.38511171645135,210.66120711450233,20.651441933111546
P0208,banner_B_0,B,click,175.6933640979434,232.87555120073154,26.036306127336214
P0210,banner_A_2,A,click,165.89563219387867,235.873179848265,19.9886374961757
P0214,banner_A_1,A,click,121.3686504963068,239.43984973102613,12.262327544312711
P0221,banner_A_1,A,click,103.10133587545923,212.5177951223502,20.242029854158165
P0222,banner_A_0,A,click,97.33081489415585,231.02477818475597,19.950665111290046
P0223,banner_B_2,B,click,225.90336790404925,233.316977974251,19.002073055182336
P0229,banner_B_0,B,click,77.20317698789441,235.85272862548862,7.04510900086129
P0236,banner_B_1,B,click,128.92797790458206,225.12742800036,20.000565100295034
P0245,banner_A_2,A,click,228.27071044014016,229.55276725288954,11.235819044471238
P0246,banner_B_1,B,click,69.15411568843285,222.0846426569463,26.322122405632964
P0247,banner_A_1,A,click,76.80876617895997,229.92682440031112,17.842181433061253
P0248,banner_B_1,B,click,189.85096583825822,232.994152176283,29.59918936563356
P0253,banner_A_3,A,click,109.22064468068938,237.07457430390286,27.3182677391302
P0258,banner_B_3,B,click,89.57924854707807,217.78499850370466,11.420646745944516
