participant_id,variant,task_id
P0000,B,banner_B_2
P0001,B,banner_B_2
P0002,B,banner_B_2
P0003,B,banner_B_1
P0004,A,banner_A_1
P0005,A,banner_A_3
P0006,B,banner_B_1
P0007,B,banner_B_1
P0008,A,banner_A_3
P0009,B,banner_B_1
P0010,B,banner_B_1
P0011,B,banner_B_1
P0012,A,banner_A_1
P0013,A,banner_A_2
P0014,B,banner_B_1
P0015,A,banner_A_0
P0016,A,banner_A_1
P0017,A,banner_A_1
P0018,A,banner_A_2
P0019,A,banner_A_0
P0020,B,banner_B_2
P0021,A,banner_A_3
P0022,B,banner_B_1
P0023,B,banner_B_3
P0024,B,banner_B_2
P0025,A,banner_A_3
P0026,B,banner_B_2
P0027,B,banner_B_0
P0028,B,banner_B_3
P0029,A,banner_A_2
P0030,A,banner_A_1
P0031,A,banner_A_1
P0032,B,banner_B_1
P0033,A,banner_A_0
P0034,B,banner_B_3
P0035,A,banner_A_3
P0036,B,banner_B_2
P0037,A,banner_A_0
P0038,A,banner_A_3
P0039,A,banner_A_0
P0040,B,banner_B_3
P0041,B,banner_B_3
P0042,A,banner_A_1
P0043,A,banner_A_0
P0044,A,banner_A_3
P0045,B,banner_B_2
P0046,B,banner_B_2
P0047,B,banner_B_2
P0048,B,banner_B_2
P0049,A,banner_A_3
P0050,B,banner_B_1
P0051,B,banner_B_0
P0052,B,banner_B_1
P0053,A,banner_A_0
P0054,A,banner_A_1
P0055,B,banner_B_0
P0056,B,banner_B_0
P0057,B,banner_B_2
P0058,B,banner_B_1
P0059,A,banner_A_3
P0060,A,banner_A_3
P0061,B,banner_B_1
P0062,A,banner_A_3
P0063,B,banner_B_1
P0064,B,banner_B_0
P0065,B,banner_B_2
P0066,A,banner_A_0
P0067,B,banner_B_0
P0068,B,banner_B_3
P0069,B,banner_B_2
P0070,A,banner_A_1
P0071,A,banner_A_0
P0072,A,banner_A_3
P0073,B,banner_B_2
P0074,B,banner_B_0
P0075,A,banner_A_1
P0076,B,banner_B_3
P0077,A,banner_A_2
P0078,A,banner_A_2
P0079,A,banner_A_2
P0080,B,banner_B_3
P0081,A,banner_A_2
P0082,B,banner_B_3
P0083,A,banner_A_1
P0084,B,banner_B_3
P0085,B,banner_B_1
P0086,A,banner_A_3
P0087,A,banner_A_0
P0088,B,banner_B_0
P0089,A,banner_A_3
P0090,B,banner_B_0
P0091,A,banner_A_0
P0092,B,banner_B_2
P0093,B,banner_B_3
P0094,A,banner_A_0
P0095,B,banner_B_1
P0096,A,banner_A_2
P0097,B,banner_B_2
P0098,A,banner_A_0
P0099,A,banner_A_2
P0100,A,banner_A_0
P0101,A,banner_A_2
P0102,B,banner_B_3
P0103,A,banner_A_0
P0104,B,banner_B_2
P0105,A,banner_A_0
P0106,A,banner_A_0
P0107,B,banner_B_2
P0108,A,banner_A_3
P0109,A,banner_A_1
P0110,A,banner_A_3
P0111,A,banner_A_1
P0112,A,banner_A_2
P0113,A,banner_A_0
P0114,A,banner_A_0
P0115,A,banner_A_1
P0116,B,banner_B_1
P0117,A,banner_A_3
P0118,A,banner_A_2
P0119,B,banner_B_3
P0120,B,banner_B_2
P0121,A,banner_A_2
P0122,A,banner_A_1
P0123,B,banner_B_1
P0124,A,banner_A_3
P0125,B,banner_B_0
P0126,B,banner_B_0
P0127,B,banner_B_3
P0128,B,banner_B_2
P0129,B,banner_B_2
P0130,B,banner_B_1
P0131,B,banner_B_0
P0132,A,banner_A_2
P0133,A,banner_A_0
P0134,B,banner_B_0
P0135,B,banner_B_0
P0136,A,banner_A_2
P0137,A,banner_A_2
P0138,B,banner_B_1
P0139,B,banner_B_0
P0140,B,banner_B_3
P0141,B,banner_B_2
P0142,A,banner_A_3
P0143,A,banner_A_0
P0144,B,banner_B_2
P0145,B,banner_B_1
P0146,A,banner_A_2
P0147,B,banner_B_2
P0148,B,banner_B_0
P0149,A,banner_A_1
P0150,B,banner_B_3
P0151,B,banner_B_1
P0152,B,banner_B_2
P0153,A,banner_A_0
P0154,A,banner_A_0
P0155,B,banner_B_0
P0156,B,banner_B_1
P0157,A,banner_A_3
P0158,B,banner_B_0
P0159,B,banner_B_3
P0160,B,banner_B_3
P0161,A,banner_A_1
P0162,B,banner_B_1
P0163,A,banner_A_2
P0164,A,banner_A_0
P0165,A,banner_A_0
P0166,A,banner_A_3
P0167,B,banner_B_2
P0168,A,banner_A_1
P0169,A,banner_A_0
P0170,A,banner_A_3
P0171,A,banner_A_0
P0172,A,banner_A_0
P0173,A,banner_A_3
P0174,B,banner_B_3
P0175,A,banner_A_3
P0176,B,banner_B_2
P0177,A,banner_A_2
P0178,A,banner_A_0
P0179,B,banner_B_3
P0180,A,banner_A_0
P0181,B,banner_B_2
P0182,A,banner_A_3
P0183,A,banner_A_0
P0184,B,banner_B_0
P0185,A,banner_A_1
P0186,B,banner_B_3
P0187,A,banner_A_1
P0188,B,banner_B_3
P0189,A,banner_A_0
P0190,A,banner_A_2
P0191,B,banner_B_1
P0192,B,banner_B_3
P0193,B,banner_B_1
P0194,A,banner_A_1
P0195,A,banner_A_3
P0196,B,banner_B_2
P0197,A,banner_A_1
P0198,B,banner_B_1
P0199,B,banner_B_2
